codebase,area
A6432-0106-00,379794.112422413
A6431-0017-00,155995.810838782
A6425-0001-00,287936.396493986
A6432-0112-00,4258780.85408266
A6430-0085-00,312556.20926052
A6430-0092-00,215553.38854756
A6426-0009-00,4418.14075461626
A6431-0030-00,47585.6884437012
A6435-0278-00,216057.350931091
A6432-0110-00,327601.546322827
A6426-0008-00,3944.10060796079
A6426-0013-00,58593.3441283936
A6426-0043-00,5704.55443013267
A6426-0040-00,2824.88951154905
A6425-0019-00,32990.1286530642
A6426-0059-00,176879.410136604
A6425-0017-00,17777.8837761528
A6431-0051-00,246903.43803048
A6435-0293-00,181992.085869271
A6426-0041-00,1441.27989754496
A6425-0076-00,7017.44480387696
A6426-0076-00,60746.7316070218
A6425-0072-00,8596.5513534325
A6425-0070-00,4413.42642402361
A6426-0063-00,2209.93710336843
A6425-0123-00,115027.532325809
A6425-0077-00,7696.28022349217
A6426-0064-00,20600.6774617513
A6425-0162-00,211694.123333748
A6431-0084-00,254859.094809454
A6425-0154-00,74818.7867997956
A6426-0085-00,73661.8963300849
A6431-0079-00,112567.885847762
A6426-0079-00,8082.94390438285
A6425-0142-00,8075.27342882743
A6431-0090-00,186379.095951739
A6425-0149-00,19163.2219477647
A6426-0113-00,11732.9552414085
A6432-0119-00,35376.8537278467
A6426-0110-00,2594.78673474809
A6435-0321-00,297056.910310576
A6431-0099-00,35740.5721015175
A6425-0174-00,106200.47930909
A6426-0116-00,9995.11499355558
A6426-0117-00,7699.28315561528
A6431-0110-00,220887.138450648
A6425-0178-00,86707.230304085
A6426-0120-00,21019.7193128954
A6430-0131-00,116237.030222607
A6430-0128-00,24010.90103767
A6425-0209-00,124340.198893228
A6422-0016-00,1853734.72571309
A6431-0150-00,378791.16386706
A6423-0013-00,5725.80338462853
A6422-0013-00,338063.72769137
A6430-0136-00,20608.0640818383
A6430-0137-00,24789.241222561
A6430-0170-00,194441.252329429
A6426-0198-00,17071.8438280698
A6430-0155-00,9017.8343669029
A6432-0128-00,452090.853223103
A6426-0193-00,12338.7024497246
A6423-0038-00,104447.196692867
A6430-0195-00,148033.457401788
A6423-0055-00,99650.1272531395
A6432-0134-00,1478521.63587385
A6430-0186-00,62385.9944894175
A6422-0021-00,360238.49108644
A6430-0210-00,34532.9173216691
A6430-0209-00,31966.1847644071
A6425-0281-00,128405.207644472
A6431-0187-00,92254.6299203397
A6431-0183-00,53638.1933923594
A6431-0186-00,42682.8204532321
A6425-0283-00,47560.1098859073
A6423-0082-00,15506.2336371882
A6431-0184-00,23107.3451941212
A6431-0196-00,172868.404228195
A6423-0110-00,10635.9008850261
A6430-0245-00,17856.6903753089
A6425-0291-00,9066.92537521384
A6426-0222-00,273635.685757389
A6431-0204-00,131721.292307955
A6431-0208-00,194806.392750076
A6423-0111-00,16458.4551536041
A6431-0216-00,257264.603114308
A6423-0124-00,184248.708658083
A6430-0271-00,397687.368516033
A6423-0117-00,19349.6874556755
A6430-0247-00,17249.3457274905
A6425-0301-00,69942.5991826107
A6426-0217-00,15303.5818164413
A6423-0118-00,16569.2703307065
A6425-0297-00,17432.1742538592
A6425-0294-00,5826.74414841343
A6423-0114-00,11254.1374355542
A6424-0024-00,205240.397338714
A6430-0264-00,186591.80417181
A6422-0031-00,232065.642244777
A6423-0116-00,7601.16395340399
A6423-0122-00,11741.5644457874
A6425-0304-00,64478.477120975
A6425-0303-00,97818.737554486
A6423-0138-00,99085.0879879786
A6435-0200-00,295699.992711026
A6430-0043-00,174485.075543689
A6435-0197-00,95926.3333375015
A6435-0221-00,231735.640221458
A6432-0103-00,2047803.40805404
A6430-0062-00,247545.66690123
A6435-0226-00,193940.038571644
A6430-0076-00,16212.3543443417
A6431-0020-00,289727.706267498
A6430-0086-00,377066.695303283
A6430-0083-00,117658.371971291
A6425-0011-00,136211.620550863
A6426-0010-00,4405.06369508356
A6431-0032-00,95304.5972130257
A6426-0011-00,3583.82430591695
A6431-0035-00,140098.515306517
A6425-0015-00,90608.7867141262
A6426-0012-00,5309.39473903304
A6435-0279-00,138779.453928065
A6432-0116-00,500997.998855677
A6426-0042-00,1730.41717224098
A6430-0129-00,355611.53415736
A6426-0045-00,11177.9247600019
A6426-0053-00,100335.096119339
A6435-0296-00,231220.351414182
A6426-0055-00,63251.6163552874
A6431-0068-00,204316.822460691
A6425-0094-00,24688.4467072371
A6426-0068-00,96953.1158683476
A6431-0088-00,456335.049335854
A6425-0093-00,25586.9810951607
A6426-0065-00,8835.42961465796
A6431-0092-00,258477.623844967
A6435-0313-00,183243.172262058
