codebase,neighbors
A6703-0135-00  ,"A6703-0119-00,A6703-0139-00,A6703-0121-00,A6703-0130-00,A6703-0158-00,A6703-0149-00,"
A6703-0132-00  ,"A6703-0126-00,A6703-0120-00,A6703-0133-00,A6703-0123-00,A6703-0142-00,A6703-0150-00,A6703-0153-00,"
A6703-0126-00  ,"A6703-0132-00,A6703-0128-00,A6703-0133-00,A6703-0125-00,A6703-0136-00,"
A6705-0138-00  ,"A6705-0137-00,A6705-0144-00,"
A6703-0128-00  ,"A6703-0126-00,A6703-0129-00,A6703-0131-00,A6703-0125-00,A6703-0137-00,"
A6703-0129-00  ,"A6703-0128-00,A6703-0131-00,A6703-0134-00,A6703-0125-00,A6703-0138-00,"
A6703-0131-00  ,"A6703-0128-00,A6703-0129-00,A6703-0137-00,A6703-0138-00,"
A6703-0012-00  ,"A6705-0002-00,A6703-0021-00,A6703-0034-00,A6703-0004-00,"
A6705-0012-00  ,"A6705-0005-00,A6705-0051-00,A6705-0033-00,A6705-0031-00,A6705-0004-00,A6705-0046-00,A6705-0013-00,"
A6705-0072-00  ,"A6705-0055-00,A6705-0074-00,A6705-0071-00,A6705-0068-00,A6705-0078-00,A6705-0090-00,A6705-0086-00,A6705-0089-00,"
A6705-0049-00  ,"A6705-0050-00,A6705-0063-00,A6705-0046-00,A6705-0038-00,A6705-0037-00,"
A6726-0033-00  ,"A6726-0025-00,A6726-0027-00,A6726-0036-00,A6726-0037-00,A6726-0031-00,A6726-0038-00,A6726-0039-00,A6726-0034-00,"
A6703-0011-00  ,"A6703-0010-00,A6703-0038-00,A6703-0023-00,A6703-0041-00,A6703-0005-00,"
A6703-0062-00  ,"A6703-0063-00,A6703-0061-00,A6703-0066-00,A6703-0053-00,A6703-0058-00,"
A6706-0045-00  ,"A6706-0042-00,A6706-0040-00,A6706-0018-00,A6706-0054-00,"
A6705-0041-00  ,"A6705-0057-00,A6705-0040-00,A6705-0036-00,"
A6703-0065-00  ,"A6703-0068-00,A6703-0072-00,A6703-0060-00,A6703-0057-00,A6703-0077-00,"
A6705-0095-00  ,"A6705-0027-00,A6705-0061-00,A6705-0115-00,A6705-0062-00,A6705-0070-00,A6702-0002-00,"
A6705-0094-00  ,"A6705-0104-00,A6705-0100-00,A6705-0102-00,A6705-0101-00,A6705-0092-00,A6705-0093-00,"
A6703-0092-00  ,"A6703-0095-00,A6703-0081-00,A6703-0104-00,A6703-0100-00,A6703-0089-00,"
A6703-0117-00  ,"A6703-0118-00,A6703-0080-00,A6703-0175-00,A6703-0152-00,"
A6703-0095-00  ,"A6703-0092-00,A6703-0102-00,A6703-0103-00,A6703-0088-00,A6703-0081-00,A6703-0100-00,"
A6705-0113-00  ,"A6705-0126-00,A6705-0128-00,A6705-0081-00,A6705-0098-00,A6705-0091-00,A6705-0119-00,"
A6703-0086-00  ,"A6703-0098-00,A6703-0084-00,A6703-0091-00,A6703-0085-00,A6703-0082-00,A6703-0083-00,"
A6705-0096-00  ,"A6705-0097-00,A6705-0099-00,A6705-0108-00,A6705-0088-00,A6705-0121-00,"
A6705-0143-00  ,"A6705-0136-00,A6705-0149-00,A6705-0151-00,"
A6703-0134-00  ,"A6703-0129-00,A6703-0125-00,A6703-0138-00,A6703-0146-00,"
A6705-0145-00  ,"A6705-0131-00,A6705-0141-00,A6705-0139-00,A6705-0146-00,A6705-0148-00,A6705-0147-00,A6705-0150-00,A6705-0133-00,"
A6702-0004-00  ,"A6705-0136-00,A6702-0001-00,A6702-0002-00,A6705-0167-00,A6705-0154-00,A6702-0010-00,A6702-0009-00,A6705-0180-00,A6701-0003-00,A6702-0007-00,A6705-0159-00,"
A6703-0102-00  ,"A6703-0095-00,A6703-0098-00,A6703-0103-00,A6703-0108-00,A6703-0110-00,A6703-0088-00,A6703-0113-00,"
A6703-0046-00  ,"A6703-0043-00,A6703-0047-00,A6703-0045-00,"
A6705-0014-00  ,"A6705-0010-00,A6705-0032-00,A6705-0017-00,A6705-0043-00,A6705-0006-00,A6705-0008-00,"
A6703-0052-00  ,"A6703-0059-00,A6703-0055-00,A6703-0040-00,A6703-0044-00,A6703-0050-00,"
A6703-0056-00  ,"A6703-0063-00,A6703-0071-00,A6703-0054-00,A6703-0055-00,A6703-0039-00,A6703-0041-00,A6703-0064-00,"
A6705-0011-00  ,"A6705-0035-00,A6705-0002-00,A6705-0016-00,A6705-0022-00,A6705-0009-00,A6705-0007-00,"
A6705-0027-00  ,"A6705-0095-00,A6705-0018-00,A6705-0042-00,"
A6705-0010-00  ,"A6705-0014-00,A6705-0015-00,A6705-0017-00,A6705-0006-00,A6705-0007-00,"
